"Comunidades","periodo","Total"
"Region de Murcia","2008","29098291"
"Region de Murcia","2009","27670321"
"Region de Murcia","2010","27912742"
"Region de Murcia","2011","27236069"
"Region de Murcia","2012","26508820"
"Region de Murcia","2013","26566278"
"Region de Murcia","2014","26712051"
"Region de Murcia","2015","28492083"
"Region de Murcia","2016","29369879"
"Region de Murcia","2017","30538493"
"Region de Murcia","2018","31198376"
"Region de Murcia","2019","32356061"
"Region de Murcia","2020","29939714"
